Date,Total_Confirmed_Cases,Total_Fatalities,Total_Recovered_Cases,New_Confirmed_Cases,New_Fatalities,New_Recovered_Cases,Remaining_Confirmed_Cases
737729,28,0,24,0,0,0,4
737729,107939,3729,97289,600,15,537,6921
737729,12072,72,10550,0,0,0,1450
737729,2413,41,1818,10,0,0,554
737729,4162,124,3228,19,0,36,810
737729,9057,232,7429,0,0,0,1396
737729,27,0,15,0,0,0,12
737729,96888,2669,40129,0,0,0,54090
737729,75321,1750,19032,3908,51,1079,54539
737729,4865,12,3873,68,0,85,980
737729,8184082,122111,7491513,46963,470,58684,570458
737729,410088,13869,337801,3143,87,3506,58418
737729,612772,34864,481930,7820,386,4630,95978
737729,472630,10910,399655,1997,48,2414,62065
737729,61456,1913,23364,397,5,0,36179
737729,314349,2561,299869,228,25,802,11919
737729,679430,38618,289426,31756,297,5859,351386
737729,9094,206,4510,89,1,68,4378
737729,101327,1769,89765,877,13,-1419,9793
737729,72607,829,7600,3301,57,0,64178
737729,149699,2226,135110,633,2,113,12363
737729,55192,981,35876,1395,0,0,18335
737729,26635,466,24357,124,2,46,1812
737729,19328,678,15429,0,0,0,3221
737729,125926,779,116862,589,6,660,8285
737729,58878,1144,49983,484,2,461,7751
737729,24,0,22,0,0,0,2
737729,5894,71,1406,215,2,0,4417
737729,81228,637,41624,1699,12,1272,38967
737729,1953,44,975,0,0,0,934
737729,1426,82,1279,0,0,0,65
737729,61095,857,35030,467,10,661,25208
737729,533,3,347,20,1,0,183
737729,14824,165,4872,1001,8,181,9787
737729,17134,152,10081,0,0,0,6901
737729,9,2,0,0,0,0,7
737729,17111,244,16409,143,0,108,458
737729,5930,184,5323,7,0,0,423
737729,31548,249,21248,659,0,1000,10051
737729,11659,38,10814,16,1,35,807
737729,3554,136,2753,9,0,7,665
737729,6042,62,4155,100,1,165,1825
737729,2,0,0,0,0,0,2
737729,7703,163,7433,3,0,17,107
737729,441,10,398,0,0,0,33
737729,924962,91753,779371,6151,464,4804,53838
737729,0,0,0,0,0,0,0
737729,76040,1785,55782,839,19,592,18473
737729,359,2,273,4,0,0,84
737729,346,0,313,0,0,0,33
737729,18341,301,14084,275,7,142,3956
737729,219084,3695,181275,3790,70,3350,34114
737729,12869,92,10437,92,1,0,2340
737729,12935,133,11036,28,0,36,1766
737729,170743,937,131222,2508,17,2264,38584
737729,357640,7459,5882,9839,51,38,344299
737729,1959,25,1857,2,0,0,77
737729,5514,156,4225,0,0,0,1133
737729,1220,69,1137,0,0,0,14
737729,62853,1144,58675,162,0,245,3034
737729,31572,994,20731,1084,12,283,9847
737729,20331,282,11863,269,0,0,8186
737729,114434,1208,103060,0,0,0,10166
737729,333970,6823,314555,977,17,489,12592
737729,133598,2700,110552,731,12,1183,20346
737729,589,7,575,0,0,0,7
737729,63185,1404,42900,589,17,563,18881
737729,900180,34411,822316,2586,49,2599,43453
737729,380729,7221,331046,1796,36,589,42462
737729,362731,5631,140280,21897,280,5556,216820
737729,141279,2507,80280,4007,39,2831,58492
737729,132556,232,129583,213,0,234,2741
737729,241339,6968,172513,5753,101,4616,61858
737729,1606267,27787,1208440,17834,325,14573,370040
737729,5137,35,4879,3,0,1,223
737729,19,0,19,0,0,0,0
737729,78,0,28,0,0,0,50
737729,74,0,70,0,0,0,4
737729,0,0,0,0,0,0,0
737729,928,42,721,0,0,0,165
737729,945,16,904,0,0,0,25
737729,347282,5402,333842,402,19,433,8038
737729,15616,324,14853,11,1,121,439
737729,46954,820,0,1817,6,0,46134
737729,153,0,149,0,0,0,4
737729,2366,74,1800,1,0,2,492
737729,58015,28,57913,12,0,4,74
737729,57664,219,12617,2573,7,109,44828
737729,34307,338,12091,1804,23,883,21878
737729,8,0,4,0,0,0,4
737729,3941,104,3185,0,0,0,652
737729,725452,19276,654182,1770,46,1130,51994
737729,2905,58,1290,2,0,0,1557
737729,1185678,35878,150376,0,0,0,999424
737729,10663,20,4399,239,1,117,6244
737729,13804,837,6764,0,0,0,6203
737729,5203,111,5060,2,0,3,32
737729,124355,5938,0,0,0,0,118417
737729,154251,2297,65200,0,20,0,86754
737729,5728,288,1976,45,3,39,3464
737729,555,7,515,1,0,1,33
737729,11017,82,10233,40,0,51,702
737729,509,21,183,0,0,0,305
737729,3784,59,3592,4,0,2,133
737729,30,0,29,0,0,0,1
737729,2331,57,1660,19,2,20,614
737729,5692,108,4610,24,1,155,974
737729,59813,1317,5032,1784,64,0,53464
737729,375367,10252,323971,2213,75,1506,41144
737729,9154267,231431,3612478,89673,892,34026,5310358
737729,12495,111,7503,85,1,0,4881
737729,399330,7399,165902,9058,164,4183,226029
737729,132629,495,128902,1121,5,1295,3232
737729,1014793,46645,2839,21919,326,28,965309
737729,3124,58,2560,42,0,28,506
737729,66932,566,64235,304,3,371,2131
737729,0,0,0,0,0,0,0
737729,92013,798,86773,424,5,438,4442
737729,1180,35,1062,3,0,0,83
737729,53520,483,46309,445,2,413,6728
737729,2063,599,1366,1,0,0,98
737729,16432,349,15680,17,0,80,403
737729,8367,243,7894,5,1,10,230
737730,41501,1538,34326,76,0,5,5637
737730,21202,518,11246,327,9,57,9438
737730,58272,1973,40395,330,9,194,15904
737730,4825,75,3475,69,0,0,1275
737730,11035,286,4920,230,2,397,5829
737730,128,3,117,0,0,0,8
737730,1173533,31140,985316,6609,138,11377,157077
737730,92254,1363,55827,2441,22,510,35064
737730,27601,907,25352,6,0,16,1342
737730,109881,1130,69336,4956,21,2110,39415
737730,56444,740,44157,1175,10,614,11547
737730,6714,144,4422,0,0,0,2148
737730,81923,321,78997,278,0,278,2605
737730,409252,5941,325940,1568,18,1795,77371
737730,237,7,221,0,0,0,9
737730,99459,985,87188,977,5,525,11286
737730,441018,11737,25819,11789,112,250,403462
737730,3577,59,2207,90,0,47,1311
737730,2683,41,2455,40,0,37,187
737730,354,0,325,5,0,1,29
737730,141833,8731,111848,76,6,345,21254
737730,51505,1248,28194,1415,14,111,22063
737730,6642,24,4676,0,0,0,1942
737730,5545705,160074,5022338,10100,190,17177,363293
737730,148,3,143,0,0,0,2
737730,54069,1298,20530,1225,19,485,32241
737730,2500,67,2250,0,0,0,183
737730,53405,1258,34189,699,21,1415,17958
737730,589,1,511,4,0,0,77
737730,8848,95,8012,55,0,31,741
737730,292,0,283,1,0,0,9
737730,22103,429,21151,310,3,1034,523
737730,239649,10230,200768,2336,43,1816,28651
737730,4866,62,1924,0,0,0,2880
737730,1498,98,1324,15,0,10,76
737730,511864,14247,488166,1608,40,1524,9451
737730,91397,4739,86162,31,0,27,496
737730,1083321,31515,977804,9137,201,8574,74002
737730,545,7,498,0,0,0,40
737730,5290,92,3887,0,0,0,1311
737730,11373,308,10768,67,1,183,297
737730,109971,1385,66719,0,0,0,41867
737730,20716,126,20365,0,0,0,225
737730,51495,562,35039,2179,16,2221,15894
737730,6935,128,6289,48,0,44,518
737730,4563,26,1882,197,0,0,2655
737730,341644,3429,157418,6542,178,14059,180797
737730,47811,723,35465,948,2,445,11623
737730,712,13,659,0,0,0,40
737730,5563,61,5448,2,0,7,54
737730,50,0,33,0,0,0,17
737730,127332,2249,105289,314,4,427,19794
737730,169194,12684,149048,1002,14,7289,7462
737730,107736,6278,99555,181,12,103,1903
737730,34015,979,29788,570,4,602,3248
737730,5088,83,4965,0,0,0,40
737730,463,0,412,0,0,0,51
737730,4985,73,3824,80,0,13,1088
737730,5925,117,5652,8,0,6,156
737730,96583,1478,53452,414,9,935,41653
737730,34,2,31,0,0,0,1
737730,16291,358,11300,178,0,0,4633
737730,1460543,37058,123664,46179,231,569,1299821
